"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2017","2,344.61","2,348.31","2,351.31","2,335.63","336.69K","-0.12%"
"May 31, 2017","2,347.38","2,339.25","2,355.23","2,338.25","555.94K","0.16%"
"May 30, 2017","2,343.68","2,356.54","2,358.69","2,332.16","508.84K","-0.39%"
"May 29, 2017","2,352.97","2,362.59","2,371.67","2,344.25","316.18K","-0.10%"
"May 26, 2017","2,355.30","2,344.39","2,364.80","2,341.61","312.90K","0.53%"
"May 25, 2017","2,342.93","2,325.49","2,343.72","2,321.26","369.28K","1.10%"
"May 24, 2017","2,317.34","2,319.37","2,322.54","2,312.93","409.56K","0.24%"
"May 23, 2017","2,311.74","2,308.69","2,326.57","2,303.15","341.09K","0.33%"
"May 22, 2017","2,304.03","2,300.68","2,305.21","2,292.95","340.06K","0.68%"
"May 19, 2017","2,288.48","2,286.78","2,293.82","2,282.13","421.13K","0.07%"
"May 18, 2017","2,286.82","2,271.27","2,288.85","2,267.08","378.32K","-0.27%"
"May 17, 2017","2,293.08","2,291.56","2,295.87","2,283.01","394.82K","-0.10%"
"May 16, 2017","2,295.33","2,306.73","2,309.00","2,283.84","368.14K","0.20%"
"May 15, 2017","2,290.65","2,288.23","2,297.31","2,280.60","251.59K","0.20%"
"May 12, 2017","2,286.02","2,296.06","2,296.51","2,283.38","335.34K","-0.45%"
"May 11, 2017","2,296.37","2,278.47","2,297.67","2,271.66","463.46K","1.16%"
"May 10, 2017","2,270.12","2,294.10","2,323.22","2,264.31","422.89K","-0.99%"
"May 08, 2017","2,292.76","2,245.61","2,292.76","2,244.23","281.76K","2.30%"
"May 04, 2017","2,241.24","2,224.91","2,241.24","2,224.91","261.92K","0.97%"
"May 02, 2017","2,219.67","2,213.61","2,229.74","2,212.87","295.14K","0.65%"
"Apr 28, 2017","2,205.44","2,214.36","2,217.04","2,202.20","268.64K","-0.18%"
"Apr 27, 2017","2,209.46","2,201.72","2,211.59","2,199.76","386.11K","0.07%"
"Apr 26, 2017","2,207.84","2,202.37","2,210.61","2,200.73","397.53K","0.50%"
"Apr 25, 2017","2,196.85","2,175.70","2,196.85","2,174.11","275.90K","1.06%"
"Apr 24, 2017","2,173.74","2,175.50","2,177.89","2,166.83","374.71K","0.40%"
"Apr 21, 2017","2,165.04","2,161.24","2,169.46","2,156.64","281.54K","0.74%"
"Apr 20, 2017","2,149.15","2,138.19","2,150.43","2,134.05","268.32K","0.50%"
"Apr 19, 2017","2,138.40","2,144.98","2,148.03","2,133.82","344.22K","-0.47%"
"Apr 18, 2017","2,148.46","2,155.36","2,155.36","2,139.31","291.40K","0.13%"
"Apr 17, 2017","2,145.76","2,140.87","2,150.70","2,138.70","259.30K","0.51%"
"Apr 14, 2017","2,134.88","2,138.28","2,141.61","2,127.80","383.69K","-0.64%"
"Apr 13, 2017","2,148.61","2,130.64","2,148.61","2,125.87","357.58K","0.93%"
"Apr 12, 2017","2,128.91","2,128.17","2,129.82","2,122.94","427.36K","0.24%"
"Apr 11, 2017","2,123.85","2,129.23","2,136.55","2,117.82","489.31K","-0.44%"
"Apr 10, 2017","2,133.32","2,148.83","2,148.83","2,128.35","512.92K","-0.86%"
"Apr 07, 2017","2,151.73","2,154.87","2,155.70","2,142.51","408.46K","-0.05%"
"Apr 06, 2017","2,152.75","2,152.64","2,153.83","2,143.30","510.16K","-0.37%"
"Apr 05, 2017","2,160.85","2,161.90","2,164.85","2,146.98","571.69K","-0.01%"
"Apr 04, 2017","2,161.10","2,165.23","2,166.94","2,156.89","522.09K","-0.30%"
"Apr 03, 2017","2,167.51","2,166.04","2,171.33","2,161.26","398.51K","0.34%"
"Mar 31, 2017","2,160.23","2,166.62","2,166.93","2,159.80","441.64K","-0.20%"
"Mar 30, 2017","2,164.64","2,170.18","2,174.16","2,159.16","643.56K","-0.11%"
"Mar 29, 2017","2,166.98","2,172.31","2,172.31","2,162.04","626.79K","0.17%"
"Mar 28, 2017","2,163.31","2,166.58","2,169.14","2,157.71","393.97K","0.35%"
"Mar 27, 2017","2,155.66","2,161.17","2,165.25","2,153.14","395.86K","-0.61%"
"Mar 24, 2017","2,168.95","2,171.36","2,179.34","2,163.34","358.67K","-0.17%"
"Mar 23, 2017","2,172.72","2,174.09","2,182.42","2,170.56","358.61K","0.20%"
"Mar 22, 2017","2,168.30","2,159.97","2,170.00","2,158.96","394.43K","-0.46%"
"Mar 21, 2017","2,178.38","2,162.95","2,181.99","2,160.25","303.94K","0.99%"
"Mar 20, 2017","2,157.01","2,160.32","2,160.57","2,151.51","264.95K","-0.35%"
"Mar 17, 2017","2,164.58","2,150.47","2,164.59","2,148.86","302.79K","0.67%"
"Mar 16, 2017","2,150.08","2,154.98","2,156.85","2,143.01","402.42K","0.80%"
"Mar 15, 2017","2,133.00","2,128.42","2,135.38","2,127.26","374.70K","-0.04%"
"Mar 14, 2017","2,133.78","2,127.12","2,135.50","2,124.42","365.07K","0.76%"
"Mar 13, 2017","2,117.59","2,102.37","2,122.88","2,100.91","382.13K","0.97%"
"Mar 10, 2017","2,097.35","2,088.67","2,102.05","2,082.31","500.86K","0.30%"
"Mar 09, 2017","2,091.06","2,098.29","2,100.08","2,090.73","408.23K","-0.21%"
"Mar 08, 2017","2,095.41","2,092.27","2,101.56","2,088.19","381.44K","0.06%"
"Mar 07, 2017","2,094.05","2,080.77","2,096.79","2,079.16","277.83K","0.61%"
"Mar 06, 2017","2,081.36","2,073.20","2,083.80","2,067.68","431.45K","0.13%"
"Mar 03, 2017","2,078.75","2,090.92","2,091.59","2,072.09","425.94K","-1.14%"
"Mar 02, 2017","2,102.65","2,105.19","2,112.58","2,096.31","434.71K","0.53%"
"Feb 28, 2017","2,091.64","2,087.26","2,094.41","2,084.36","399.82K","0.29%"
"Feb 27, 2017","2,085.52","2,095.47","2,097.24","2,084.08","343.70K","-0.41%"
"Feb 24, 2017","2,094.12","2,106.43","2,107.83","2,090.05","385.39K","-0.64%"
"Feb 23, 2017","2,107.63","2,106.15","2,108.99","2,103.11","430.85K","0.05%"
"Feb 22, 2017","2,106.61","2,106.42","2,108.98","2,101.56","312.22K","0.18%"
"Feb 21, 2017","2,102.93","2,085.97","2,108.48","2,085.00","292.54K","0.89%"
"Feb 20, 2017","2,084.39","2,084.16","2,085.59","2,077.13","297.20K","0.18%"
"Feb 17, 2017","2,080.58","2,072.57","2,081.18","2,072.57","301.52K","-0.06%"
"Feb 16, 2017","2,081.84","2,088.09","2,092.59","2,078.35","330.47K","-0.10%"
"Feb 15, 2017","2,083.86","2,073.60","2,087.69","2,069.89","338.04K","0.45%"
"Feb 14, 2017","2,074.57","2,079.30","2,081.59","2,068.16","332.37K","-0.20%"
"Feb 13, 2017","2,078.65","2,074.94","2,078.66","2,070.36","289.68K","0.17%"
"Feb 10, 2017","2,075.08","2,075.80","2,080.74","2,072.23","314.68K","0.45%"
"Feb 09, 2017","2,065.88","2,067.15","2,072.69","2,062.12","236.01K","0.04%"
"Feb 08, 2017","2,065.08","2,072.58","2,072.58","2,052.29","266.72K","-0.49%"
"Feb 07, 2017","2,075.21","2,077.80","2,079.23","2,071.05","271.81K","-0.12%"
"Feb 06, 2017","2,077.66","2,085.73","2,088.37","2,073.03","315.32K","0.22%"
"Feb 03, 2017","2,073.16","2,075.90","2,079.85","2,064.05","392.58K","0.10%"
"Feb 02, 2017","2,071.01","2,080.23","2,092.45","2,067.76","825.48K","-0.46%"
"Feb 01, 2017","2,080.48","2,075.31","2,082.70","2,073.97","452.53K","0.62%"
"Jan 31, 2017","2,067.57","2,077.66","2,079.97","2,067.57","288.28K","-0.77%"
"Jan 26, 2017","2,083.59","2,074.77","2,088.60","2,068.50","257.92K","0.81%"
