Genes,Feature1,Feature2,Feature3,Feature4
'HERC5',23.531,-1.2708,-1.6428,-1.227
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCB1',-41.352,0.27386,0.42371,-0.9602
'CYP3A4',-80.951,0.16599,0.33999,-0.95788
'CYP3A5',-45.948,0.16599,0.33999,-0.95788
'CYP3A7',-81.684,0.16599,0.33999,-0.95788
'CYP2C9',-63.854,-1.2279,-1.1199,-0.23964
'ABCC10',29.111,0.53633,0.20373,1.1142
'ABCB11',-70.16,0.13942,0.02003,0.87413
'ABCC1',59.871,0.66933,0.22807,-0.39785
'ABCC2',-82.653,-1.2549,-1.1552,-0.20879
'CYP2C8',-93.899,-1.2289,-1.1199,-0.24016
'CYP19A1',-86.928,-0.45878,-0.39152,-0.050915
'CYP1B1',-4.19,1.4862,1.1062,0.53964
'HERC5',23.531,-1.2708,-1.6428,-1.227
'HERC5',23.531,-1.2708,-1.6428,-1.227
'HERC5',23.531,-1.2708,-1.6428,-1.227
'HERC5',23.531,-1.2708,-1.6428,-1.227
'HERC5',23.531,-1.2708,-1.6428,-1.227
'HERC5',23.531,-1.2708,-1.6428,-1.227
'ERBB2',85.359,0.94449,0.70108,0.649
'ERBB2',85.359,0.94449,0.70108,0.649
'ERBB2',85.359,0.94449,0.70108,0.649
'BAK1',45.249,0.55958,0.22372,1.3246
'BAX',52.291,0.86985,0.52212,2.4027
'ERBB2',85.359,0.94449,0.70108,0.649
'ERBB2',85.359,0.94449,0.70108,0.649
'ERBB2',85.359,0.94449,0.70108,0.649
'ERBB2',85.359,0.94449,0.70108,0.649
'CLCA2',45.868,1.1869,0.62755,-0.13053
'CLCA2',45.868,1.1869,0.62755,-0.13053
'IKBKB',47.489,0.39366,0.14357,-0.31567
'IKBKB',47.489,0.39366,0.14357,-0.31567
'IKBKB',47.489,0.39366,0.14357,-0.31567
'SRC',63.113,2.3684,1.7403,0.65268
'SRC',63.113,2.3684,1.7403,0.65268
'TNFRSF10A',-4.682,-1.6328,-1.7279,-0.31415
'BRAF',-7.8237,-0.41688,-0.25394,-0.6219
'FLI1',-0.70471,-3.8552,-3.8193,1.2415
'SPINT2',113.24,1.7615,1.507,2.5338
'SSX1',-0.07968,0.015362,-0.16315,-0.39786
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCB6',39.972,-2.1421,-1.8892,-0.23433
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
'ABCG2',-51.855,-1.2327,-1.6261,-1.1563
